-0.23771566,-0.08458523,0.04171347,-0.06693066,0.86488825,-0.31610262,0.25863984,-0.13850914,-0.06525303,0.33518967,-0.34560481,-0.05626772,0.24527875,-0.04933709,0.32031527,0.18197121,-0.16348419,-0.20848399,0.15021779,0.21558496,0.32753778,0.22106014,-0.50221521,-0.31637162,0.36262795,0.58508646,-0.30453354,-0.15560482,-0.02942495,-0.28342602,0.22530049,0.27881232,-0.01672062,0.23378167,0.17881870,0.13168383,0.32005423,-0.06911334,-0.26434022,0.30552241,0.17017995,0.00388984,-0.54429078,0.17609647,-0.63313186,-0.07572921,-0.54430699,0.35066143,-0.07441088,-0.06872493,-0.40485528,0.55313230,0.18119378,-0.00210152,-0.03340650,-0.56218106,0.44662064,0.55413872,0.57421470,0.07760490,0.13943781,0.70024133,0.62948406,-0.00138954
-0.12067742,0.12941790,-0.19037592,-0.18637559,0.38154784,0.22622958,-0.66725004,0.33305976,0.04401878,0.37848482,-0.15879042,-0.38032839,-0.45276690,0.47051978,0.06395668,0.23883428,-0.25781623,-0.35029602,-0.26271296,-0.33790854,-0.03966365,0.18386626,0.35854328,0.14982186,0.21426289,-0.35959464,-0.03653125,-0.09164444,-0.46990365,0.36428657,-0.54459435,0.02428584,0.01449968,0.40398657,-0.00216038,0.47901022,0.10492507,0.15130481,0.07198235,-0.27191550,0.02724119,0.02419027,0.14627066,0.06098223,0.29496983,-0.26988956,0.17919073,0.45052207,0.32233533,0.46240926,-0.29559049,0.06137286,0.19417486,0.24394166,-0.17327209,-0.00044277,0.09600092,-0.05086431,-0.21912540,-0.03163296,-0.22809638,0.46762747,-0.13965195,0.08466204
-0.25488231,-0.11931276,0.06378748,-0.03095599,0.87223536,-0.35236859,0.23210137,-0.11240487,-0.02630176,0.32508811,-0.37126830,-0.06757091,0.26412699,-0.01950599,0.32181415,0.19945583,-0.14198977,-0.17249750,0.20115592,0.23749521,0.30570608,0.16388981,-0.50578916,-0.33955383,0.35850674,0.54343635,-0.29417083,-0.15208226,-0.01833395,-0.32584947,0.15257619,0.28895617,-0.01716485,0.16760844,0.18616712,0.15385689,0.33430907,-0.05548510,-0.24560112,0.28355843,0.14140630,0.02059859,-0.52254438,0.15320870,-0.61426204,-0.06610984,-0.51457554,0.41466701,-0.06865157,-0.05074713,-0.41900730,0.55915266,0.18581124,-0.04567954,-0.00381597,-0.54390281,0.47840717,0.54989076,0.61543268,0.11379232,0.15212835,0.69445491,0.58931553,0.04549877
-0.52712083,-0.10343622,-0.09531962,0.32646284,0.67686576,0.24466114,-0.60504889,-0.21844214,-0.72294199,-0.31774822,-0.10854428,-0.12709060,0.57702690,-0.05184640,-0.21813272,0.31602979,0.56598103,-0.13292240,-0.44989043,0.13824588,-0.11012826,-0.09536826,0.03228942,0.52336884,-0.33849648,0.40414461,-0.10846473,-0.21597005,-0.12186223,0.45578745,-0.47255045,-0.13210620,-0.00533594,-0.55325180,0.05981694,0.12774143,0.56325531,0.02734993,-0.02013838,0.22246109,0.18448675,-0.88360137,-0.02338556,-0.43285707,0.61854625,-0.34987241,-0.08697112,-0.55540818,0.06814675,-0.25969514,-0.40160736,-0.05371138,-0.21968086,0.13151374,-0.14240198,0.07816625,-0.33673415,0.44227624,-0.12614149,0.03712219,0.25598648,0.01567884,0.13802123,-0.32535630
-0.25881559,0.17590144,-0.05172227,0.14416789,-0.17131598,-0.10031477,0.32228160,0.10559825,-0.13242538,0.19899817,0.06043465,0.04373286,0.33661073,-0.02674794,0.24162027,0.08788424,-0.05203464,-0.03424218,-0.34551558,0.01117719,0.25740278,-0.00032124,0.00070565,0.05464505,-0.07232470,-0.03645755,-0.06676833,-0.25092852,0.00018906,0.11707719,-0.09829488,0.20003667,-0.20604329,-0.05906454,0.20386842,-0.12061349,0.13780309,-0.44575039,-0.20788912,0.09867382,-0.03503056,0.05932974,0.07923616,0.02529233,0.02467309,-0.14566280,0.19952397,0.13781816,0.16443530,-0.34413680,0.06309918,0.07197841,0.29411766,0.28094479,-0.25029492,0.14974993,-0.00880824,0.10589885,-0.22325340,0.27223989,-0.17160876,-0.24429339,-0.00469535,0.02263697
-0.07903358,0.10185439,-0.01759318,-0.18211466,-0.13373934,0.06260093,-0.07498470,0.06392954,-0.06666222,0.08016790,0.31185621,0.07103486,0.07930560,0.11223793,0.09599693,-0.00650877,-0.12773629,0.09099887,0.38491690,-0.10892664,-0.23867401,0.08227415,0.17961414,0.11906877,0.16272561,0.26298723,0.26464829,0.12817860,0.32731438,0.20810162,0.14357102,0.07555554,0.12810563,-0.04224743,-0.08495190,0.17943360,0.02138621,0.44057152,0.22435105,-0.10859515,-0.21782438,0.24031757,0.29979411,-0.14820075,0.05934399,0.12996092,0.21730219,0.11612777,-0.15304692,0.19044386,-0.34192508,0.05527106,0.16242094,-0.35289168,0.19704959,0.10153691,0.05265937,0.04832949,-0.34866479,0.28387064,0.21058327,0.03048220,-0.01987812,-0.06612002
0.02246314,0.31228012,-0.15598778,-0.07770222,0.34170938,0.16323633,0.26500475,0.00372426,0.22778414,-0.11728980,0.31603330,0.01120378,0.10372886,-0.02210506,-0.32720751,0.20769385,0.06804405,-0.26638389,-0.26972735,-0.16244055,-0.13853547,-0.38458833,0.07349256,-0.13432723,-0.22731756,-0.10247108,0.13355763,-0.15979792,0.00337959,-0.06157912,-0.02350967,-0.19384900,0.17028581,0.05682665,0.03184631,0.25217199,0.06148190,-0.47819200,-0.04319997,-0.25837645,-0.09728681,0.00622514,-0.23032197,0.29127648,-0.00526445,-0.16010021,-0.11102164,-0.01111243,-0.15068990,0.01357773,-0.15340400,0.28104836,-0.08401191,-0.22009452,-0.15359658,-0.08820987,0.09659757,-0.06880916,0.02983543,0.13180844,-0.10785316,-0.25896168,0.16497180,-0.09387510
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.13098492,-0.41947764,-0.02361318,-0.62162125,-0.17652684,-0.11861664,-0.00272198,-0.06315750,0.27529776,-0.48566014,-0.72024113,0.34358239,-0.46532866,0.69505662,-0.04869171,0.24103449,0.27884138,-0.19383727,-0.44627595,0.23930337,0.06751177,0.12647855,-0.35322461,0.20573805,-0.16761628,0.02076992,-0.15283662,0.21010940,0.16092584,0.12062951,-0.81243056,0.10266185,-0.98803514,-0.02267800,-0.41561943,0.19609904,-0.41938734,0.41419125,0.24727686,-0.20715517,-0.26431775,0.07267093,-0.48499826,0.70974249,-0.40400583,0.46270862,0.16963001,-0.08574612,0.35974321,0.10436218,-0.55612767,0.19091320,-0.30833802,0.08890001,-0.77533120,-0.11314087,0.07706265,-0.00677939,-0.02299799,0.45077559,-0.26840386,-0.52307945,-0.31421316,0.49484664
-0.37331536,-0.06705110,0.31461301,0.15910439,0.97241509,-0.35416603,-0.04338665,0.46395147,-0.18599239,0.20511286,-0.54662913,0.27972963,-0.17260551,0.10789640,-0.00070550,-0.45648965,-0.07844906,-0.49452531,0.40321341,-0.02617046,0.49389312,0.30250621,-0.07445767,0.14903016,-0.17384811,0.63574886,-0.70577300,-0.11065162,-0.17433423,-0.64370316,0.21738553,0.37891039,-0.00095495,0.50342679,0.46353716,-0.31249824,0.43176672,0.17010817,0.31005913,0.15537922,-0.10502443,-0.01285012,-0.30587605,0.16951904,-0.87309104,-0.37357306,-0.57131851,0.34165594,-0.08963683,-0.22858594,-0.43663383,0.91729498,-0.20139712,-0.28509927,-0.31264731,-0.23939602,0.40281504,0.96415395,0.73817146,0.66895109,0.24980168,0.90586966,0.83121032,-0.28914106
